id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier,intClassifier
2733,21.97,0.3,43.62,30,2016-03-05 13:15:46,noload,1
2734,21.9,0.64,83.63,437,2016-03-05 13:15:48,noload,1
2735,21.9,0.7,82.05,865,2016-03-05 13:15:50,noload,1
2736,21.8,0.57,68.69,1171,2016-03-05 13:15:52,noload,1
2737,21.83,0.54,65.63,1268,2016-03-05 13:15:54,noload,1
2738,21.88,0.54,70.87,1331,2016-03-05 13:15:56,noload,1
2739,21.9,0.54,72.65,1334,2016-03-05 13:15:58,noload,1
2740,21.9,0.54,74.83,1334,2016-03-05 13:16:00,noload,1
2741,21.93,0.54,70.92,1334,2016-03-05 13:16:02,noload,1
2742,21.94,0.53,71.77,1336,2016-03-05 13:16:05,noload,1
2743,21.94,0.53,66.41,1333,2016-03-05 13:16:07,noload,1
2744,21.96,0.53,66.94,1334,2016-03-05 13:16:09,noload,1
2745,21.96,0.53,64.27,1334,2016-03-05 13:16:11,noload,1
2746,21.99,0.53,66.83,1334,2016-03-05 13:16:13,noload,1
2747,22,0.53,73.94,1340,2016-03-05 13:16:15,noload,1
2748,22.03,0.53,68.05,1340,2016-03-05 13:16:17,noload,1
2749,22.02,0.53,68.1,1339,2016-03-05 13:16:19,noload,1
2750,22.02,0.53,69.93,1343,2016-03-05 13:16:21,noload,1
2751,22.08,3.01,79.34,534,2016-03-05 13:16:28,noload,1
2752,22.12,0.52,77.33,2151,2016-03-05 13:16:30,noload,1
2753,22.13,0.52,81.92,2694,2016-03-05 13:16:32,noload,1
2754,22.15,0.52,78.44,2694,2016-03-05 13:16:34,noload,1
2755,22.18,0.52,79.14,2691,2016-03-05 13:16:36,noload,1
2756,22.17,0.52,76.34,2682,2016-03-05 13:16:38,noload,1
2757,22.2,0.52,81.68,2700,2016-03-05 13:16:40,noload,1
2758,22.23,0.52,85.64,2745,2016-03-05 13:16:42,noload,1
2759,22.24,0.52,82.32,2745,2016-03-05 13:16:44,noload,1
2760,22.28,0.52,83.5,2898,2016-03-05 13:16:46,noload,1
2761,22.31,0.52,85.16,3024,2016-03-05 13:16:48,noload,1
2762,22.3,0.52,84.48,3120,2016-03-05 13:16:50,noload,1
2763,22.35,0.52,84.57,3144,2016-03-05 13:16:52,noload,1
2764,22.38,0.52,84.83,3156,2016-03-05 13:16:55,noload,1
2765,22.38,0.52,84.61,3288,2016-03-05 13:16:57,noload,1
2766,22.4,0.52,85.99,3411,2016-03-05 13:16:59,noload,1
2767,22.43,0.52,84.83,3510,2016-03-05 13:17:01,noload,1
2768,22.43,0.52,86.78,3522,2016-03-05 13:17:03,noload,1
2769,22.47,0.52,86.58,3594,2016-03-05 13:17:05,noload,1
2770,22.49,0.52,86.03,3609,2016-03-05 13:17:07,noload,1
2771,22.51,0.52,87.52,3609,2016-03-05 13:17:09,noload,1
2772,22.53,0.52,87.72,3654,2016-03-05 13:17:11,noload,1
2773,22.59,0.52,85.68,3627,2016-03-05 13:17:13,noload,1
2774,22.61,0.52,84.59,3612,2016-03-05 13:17:15,noload,1
2775,22.63,0.52,86.6,3612,2016-03-05 13:17:17,noload,1
2776,22.66,0.52,87.46,3615,2016-03-05 13:17:19,noload,1
2777,22.7,0.52,85.88,3636,2016-03-05 13:17:21,noload,1
2778,22.7,0.52,87.87,3609,2016-03-05 13:17:23,noload,1
2779,22.74,0.52,88.92,3516,2016-03-05 13:17:25,noload,1
2780,22.74,0.52,85.95,3549,2016-03-05 13:17:27,noload,1
2781,22.76,0.52,90.45,3594,2016-03-05 13:17:29,noload,1
2782,22.78,0.51,89.6,3564,2016-03-05 13:17:32,noload,1
2783,22.85,0.52,90.76,3564,2016-03-05 13:17:34,noload,1
2784,22.87,0.52,87.06,3588,2016-03-05 13:17:36,noload,1
2785,22.89,0.52,88,3534,2016-03-05 13:17:38,noload,1
2786,22.9,0.52,89.88,3495,2016-03-05 13:17:40,noload,1
2787,22.93,0.52,88.02,3534,2016-03-05 13:17:42,noload,1
2788,22.98,0.52,88.13,3561,2016-03-05 13:17:44,noload,1
2789,23.02,0.51,89.21,3456,2016-03-05 13:17:46,noload,1
2790,23.06,0.52,91.2,3405,2016-03-05 13:17:48,noload,1
2791,23.08,0.52,90.23,3372,2016-03-05 13:17:50,noload,1
2792,23.14,0.51,89.29,3375,2016-03-05 13:17:52,noload,1
2793,23.15,0.51,90.83,3318,2016-03-05 13:17:54,noload,1
2794,23.18,0.52,92.22,3336,2016-03-05 13:17:56,noload,1
2795,23.17,0.52,90.39,3339,2016-03-05 13:17:58,noload,1
2796,23.21,0.51,90.67,3357,2016-03-05 13:18:00,noload,1
2797,23.25,0.51,91.66,3318,2016-03-05 13:18:02,noload,1
2798,23.24,0.51,92.14,3258,2016-03-05 13:18:04,noload,1
2799,23.26,0.52,89.67,3168,2016-03-05 13:18:06,noload,1
2800,23.29,0.51,90.56,3147,2016-03-05 13:18:09,noload,1
2801,23.31,0.51,92.14,3153,2016-03-05 13:18:11,noload,1
2802,23.33,0.51,91.98,3081,2016-03-05 13:18:13,noload,1
2803,23.36,0.51,90.87,3063,2016-03-05 13:18:15,noload,1
2804,23.37,0.51,90.23,3075,2016-03-05 13:18:17,noload,1
2805,23.4,0.51,90.17,3066,2016-03-05 13:18:19,noload,1
2806,23.46,0.51,92.53,3060,2016-03-05 13:18:21,noload,1
2807,23.48,0.51,92.4,2958,2016-03-05 13:18:23,noload,1
2808,23.51,0.51,92.07,2955,2016-03-05 13:18:25,noload,1
2809,23.59,0.52,90.65,2976,2016-03-05 13:18:27,noload,1
2810,23.6,0.51,91.81,2964,2016-03-05 13:18:29,noload,1
2811,23.67,0.51,92.12,2919,2016-03-05 13:18:31,noload,1
2812,23.69,0.51,92.05,2898,2016-03-05 13:18:33,noload,1
2813,23.7,0.51,91.81,2919,2016-03-05 13:18:35,noload,1
2814,23.74,0.51,92.09,2922,2016-03-05 13:18:37,noload,1
2815,23.8,0.51,92.44,2907,2016-03-05 13:18:39,noload,1
2816,23.8,0.51,91.98,2883,2016-03-05 13:18:41,noload,1
2817,23.81,0.51,90.3,2868,2016-03-05 13:18:43,noload,1
2818,23.85,0.51,92.97,2874,2016-03-05 13:18:45,noload,1
2819,23.88,0.51,93.28,2850,2016-03-05 13:18:48,noload,1
2820,23.9,0.51,93.17,2820,2016-03-05 13:18:50,noload,1
2821,23.94,0.51,90.63,2820,2016-03-05 13:18:52,noload,1
2822,23.99,0.51,92.49,2826,2016-03-05 13:18:54,noload,1
2823,24.02,0.51,93.84,2865,2016-03-05 13:18:56,noload,1
2824,24.03,0.51,92.73,2859,2016-03-05 13:18:58,noload,1
2825,24.05,0.51,92.9,2862,2016-03-05 13:19:00,noload,1
2826,24.05,0.51,92.31,2805,2016-03-05 13:19:02,noload,1
2827,24.09,0.51,93.87,2772,2016-03-05 13:19:04,noload,1
2828,24.16,0.51,91.94,2805,2016-03-05 13:19:06,noload,1
2829,24.16,0.51,90.76,2838,2016-03-05 13:19:08,noload,1
2830,24.18,0.51,89.88,2841,2016-03-05 13:19:10,noload,1
2831,24.22,0.51,92.31,2805,2016-03-05 13:19:12,noload,1
2832,24.25,0.51,91.59,2787,2016-03-05 13:19:14,noload,1
2833,24.31,0.51,91.98,2799,2016-03-05 13:19:16,noload,1
2834,24.31,0.51,91.79,2787,2016-03-05 13:19:18,noload,1
2835,24.37,0.51,92.38,2802,2016-03-05 13:19:20,noload,1
2836,24.39,0.51,92.66,2784,2016-03-05 13:19:22,noload,1
2837,24.41,0.51,91.68,2787,2016-03-05 13:19:25,noload,1
2838,24.49,0.51,88.99,2757,2016-03-05 13:19:27,noload,1
2839,24.54,0.51,91.11,2739,2016-03-05 13:19:29,noload,1
2840,24.56,0.51,90.41,2757,2016-03-05 13:19:31,noload,1
2841,24.6,0.51,90.61,2766,2016-03-05 13:19:33,noload,1
2842,24.67,0.51,89.67,2775,2016-03-05 13:19:35,noload,1
2843,24.69,0.51,90.1,2775,2016-03-05 13:19:37,noload,1
2844,24.72,0.5,91.77,2787,2016-03-05 13:19:39,noload,1
2845,24.72,0.51,89.77,2784,2016-03-05 13:19:41,noload,1
2846,24.75,0.51,88.05,2757,2016-03-05 13:19:43,noload,1
2847,24.82,0.5,89.69,2754,2016-03-05 13:19:45,noload,1
2848,24.84,0.5,93.6,2742,2016-03-05 13:19:47,noload,1
2849,24.92,0.51,91.09,2733,2016-03-05 13:19:49,noload,1
2850,24.99,0.5,91,2763,2016-03-05 13:19:51,noload,1
2851,25.03,0.5,90.43,2781,2016-03-05 13:19:53,noload,1
2852,25.04,0.5,90.43,2772,2016-03-05 13:19:55,noload,1
2853,25.05,0.5,90.67,2742,2016-03-05 13:19:57,noload,1
2854,25.09,0.5,92.86,2772,2016-03-05 13:19:59,noload,1
2855,25.13,0.5,89.58,2796,2016-03-05 13:20:01,noload,1
2856,25.19,0.5,90.23,2802,2016-03-05 13:20:04,noload,1
2857,25.24,0.5,89.53,2766,2016-03-05 13:20:06,noload,1
2858,25.25,0.5,92.79,2742,2016-03-05 13:20:08,noload,1
