id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier
1256,32.63,2.85,0.48,2,2016-02-22 13:31:09,noload
1257,32.66,0.25,0.68,10,2016-02-22 13:31:11,noload
1258,32.55,0.25,0.44,13,2016-02-22 13:31:13,noload
1259,32.49,0.25,0.57,13,2016-02-22 13:31:15,noload
1260,32.57,0.25,0.63,13,2016-02-22 13:31:17,noload
1261,32.49,0.25,0.61,13,2016-02-22 13:31:19,noload
1262,32.39,0.25,0.33,13,2016-02-22 13:31:21,noload
1263,32.44,0.25,0.42,13,2016-02-22 13:31:23,noload
1264,32.4,0.25,0.72,13,2016-02-22 13:31:25,noload
1265,32.57,0.25,0.63,13,2016-02-22 13:31:27,noload
1266,32.59,0.25,0.63,13,2016-02-22 13:31:29,noload
1267,32.53,0.25,0.2,13,2016-02-22 13:31:31,noload
1268,32.6,0.25,0.46,13,2016-02-22 13:31:33,noload
1269,32.6,0.25,0.68,13,2016-02-22 13:31:35,noload
1270,32.52,0.25,0.68,13,2016-02-22 13:31:37,noload
1271,32.46,0.25,0.5,13,2016-02-22 13:31:39,noload
1272,32.37,0.25,0.22,13,2016-02-22 13:31:42,noload
1273,32.38,0.25,0.57,13,2016-02-22 13:31:44,noload
1274,32.52,0.25,0.59,13,2016-02-22 13:31:46,noload
1275,32.54,0.25,0.61,13,2016-02-22 13:31:48,noload
1276,32.5,0.25,0.66,13,2016-02-22 13:31:50,noload
1277,32.38,0.25,0.17,13,2016-02-22 13:31:52,noload
1278,32.36,0.25,0.7,13,2016-02-22 13:31:54,noload
1279,32.38,0.25,0.74,13,2016-02-22 13:31:56,noload
1280,32.24,0.25,0.46,13,2016-02-22 13:31:58,noload
1281,32.28,0.25,0.48,13,2016-02-22 13:32:00,noload
1282,32.17,0.25,0.48,13,2016-02-22 13:32:02,noload
1283,32.22,0.25,1.01,13,2016-02-22 13:32:04,noload
1284,32.33,0.25,0.39,13,2016-02-22 13:32:06,noload
1285,32.44,0.25,0.35,13,2016-02-22 13:32:08,noload
1286,32.42,0.25,0.72,13,2016-02-22 13:32:10,noload
1287,32.4,0.25,0.13,13,2016-02-22 13:32:12,noload
1288,32.32,0.25,0.57,13,2016-02-22 13:32:14,noload
1289,32.44,0.25,0.46,13,2016-02-22 13:32:17,noload
1290,32.45,0.25,0.66,13,2016-02-22 13:32:19,noload
1291,32.16,0.25,0.55,136,2016-02-22 13:33:00,noload
1292,32.06,0.25,0.46,136,2016-02-22 13:33:02,noload
1293,32.12,0.25,0.66,135,2016-02-22 13:33:04,noload
1294,31.96,0.25,0.17,136,2016-02-22 13:33:11,noload
1295,32.02,0.25,0.92,136,2016-02-22 13:33:13,noload
1296,32.18,0.25,0.17,134,2016-02-22 13:33:15,noload
1297,32.3,0.25,0.83,135,2016-02-22 13:33:17,noload
1298,32.32,0.25,0.31,135,2016-02-22 13:33:19,noload
1299,32.34,0.25,0.48,136,2016-02-22 13:33:21,noload
1300,32.27,0.25,0.68,136,2016-02-22 13:33:23,noload
1301,32.16,0.25,0.37,136,2016-02-22 13:33:25,noload
1302,32.19,0.25,0.57,135,2016-02-22 13:33:27,noload
1303,32.27,0.25,0.46,135,2016-02-22 13:33:29,noload
1304,32.13,0.25,0.81,135,2016-02-22 13:33:31,noload
1305,32.17,0.25,0.5,135,2016-02-22 13:33:33,noload
1306,32.02,0.25,0.31,135,2016-02-22 13:33:35,noload
1307,32,0.25,0.63,135,2016-02-22 13:33:37,noload
1308,31.95,0.25,0.9,135,2016-02-22 13:33:39,noload
1309,32.06,0.25,0.2,136,2016-02-22 13:33:41,noload
1310,32.02,0.25,0.53,136,2016-02-22 13:33:44,noload
1311,32.06,0.25,0.72,134,2016-02-22 13:33:46,noload
1312,32.14,0.25,0.31,135,2016-02-22 13:33:48,noload
1313,32.15,0.25,0.52,135,2016-02-22 13:33:50,noload
1314,32.18,0.25,0.57,135,2016-02-22 13:33:52,noload
1315,32.17,0.25,0.9,135,2016-02-22 13:33:54,noload
1316,32.15,0.25,0.59,135,2016-02-22 13:33:56,noload
1317,32.08,0.25,0.48,135,2016-02-22 13:33:58,noload
1318,32.12,0.25,0.52,135,2016-02-22 13:34:00,noload
1319,32.17,0.25,0.42,135,2016-02-22 13:34:02,noload
1320,32.12,0.25,0.77,136,2016-02-22 13:34:04,noload
1321,32.13,0.25,0.61,134,2016-02-22 13:34:06,noload
1322,32.13,0.25,0.39,136,2016-02-22 13:34:08,noload
1323,32.16,0.25,0.59,137,2016-02-22 13:34:10,noload
1324,32.11,0.25,0.7,137,2016-02-22 13:34:12,noload
1325,32.1,0.25,0.79,136,2016-02-22 13:34:14,noload
1326,32.11,0.25,0.31,135,2016-02-22 13:34:16,noload
1327,32.08,0.25,0.44,135,2016-02-22 13:34:19,noload
1328,32.03,0.25,0.77,135,2016-02-22 13:34:21,noload
1329,32.05,0.25,0.55,135,2016-02-22 13:34:23,noload
1330,31.98,0.25,0.5,135,2016-02-22 13:34:25,noload
1331,32.06,0.25,0.59,135,2016-02-22 13:34:27,noload
1332,31.9,0.25,0.42,135,2016-02-22 13:34:29,noload
1333,31.9,0.25,0.57,134,2016-02-22 13:34:31,noload
1334,31.89,0.25,0.92,136,2016-02-22 13:34:33,noload
1335,31.84,0.25,0.24,134,2016-02-22 13:34:35,noload
1336,31.78,0.25,0.5,135,2016-02-22 13:34:37,noload
1337,32.02,0.25,0.66,135,2016-02-22 13:34:39,noload
1338,31.88,0.25,0.66,135,2016-02-22 13:34:41,noload
1339,31.88,0.25,0.37,135,2016-02-22 13:34:43,noload
1340,31.87,0.25,0.31,135,2016-02-22 13:34:45,noload
1341,31.86,0.25,0.81,136,2016-02-22 13:34:47,noload
1342,31.89,0.25,0.7,134,2016-02-22 13:34:49,noload
1343,32.03,0.25,0.5,136,2016-02-22 13:34:51,noload
1344,32.04,0.25,0.55,134,2016-02-22 13:34:54,noload
1345,31.88,0.25,0.59,135,2016-02-22 13:34:56,noload
1346,31.9,0.25,0.59,135,2016-02-22 13:34:58,noload
1347,31.84,0.25,0.13,135,2016-02-22 13:35:00,noload
1348,31.98,0.25,0.79,135,2016-02-22 13:35:02,noload
1349,31.99,0.25,0.68,135,2016-02-22 13:35:04,noload
1350,31.99,0.25,0.5,133,2016-02-22 13:35:06,noload
1351,31.82,0.25,0.57,134,2016-02-22 13:35:08,noload
1352,31.86,0.25,0.79,133,2016-02-22 13:35:10,noload
1353,31.91,0.25,0.61,134,2016-02-22 13:35:12,noload
1354,31.81,0.25,0.13,134,2016-02-22 13:35:14,noload
1355,31.8,0.25,0.92,134,2016-02-22 13:35:16,noload
