,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime
0,804,21.82,0.01,2.3,0,2016-01-21 20:31:57
1,805,21.86,0.01,2.3,0,2016-01-21 20:31:59
2,806,21.96,0.01,2.3,0,2016-01-21 20:32:01
3,807,22.07,0.01,2.3,0,2016-01-21 20:32:04
4,808,21.96,0.01,2.2,0,2016-01-21 20:32:06
5,809,21.89,0.01,2.1,0,2016-01-21 20:32:08
6,810,21.89,0.01,2.8,0,2016-01-21 20:32:10
7,811,21.9,0.01,4.9,0,2016-01-21 20:32:12
8,812,21.91,0.01,3.1,0,2016-01-21 20:32:15
9,813,21.89,0.01,5.8,0,2016-01-21 20:32:17
10,814,21.87,0.01,3.1,0,2016-01-21 20:32:19
11,815,21.87,0.01,4.7,0,2016-01-21 20:32:21
12,816,21.9,0.01,2.3,0,2016-01-21 20:32:24
13,817,21.89,0.01,4.4,0,2016-01-21 20:32:26
14,818,21.9,0.01,4.7,0,2016-01-21 20:32:28
15,819,21.93,0.01,3.9,0,2016-01-21 20:32:30
16,820,21.5,0.01,3.8,0,2016-01-21 20:32:33
17,821,21.48,0.01,4.1,0,2016-01-21 20:32:35
18,822,21.71,0.01,3.1,0,2016-01-21 20:32:37
19,823,24.92,0.06,3.7,0,2016-01-21 20:32:40
20,824,23.28,0.62,4.7,0,2016-01-21 20:32:42
21,825,22.08,0.62,3.6,0,2016-01-21 20:32:44
22,826,21.95,0.62,3.5,0,2016-01-21 20:32:46
23,827,21.88,0.62,4.5,0,2016-01-21 20:32:48
24,828,21.86,0.62,4.3,0,2016-01-21 20:32:50
25,829,21.86,0.61,4.5,0,2016-01-21 20:32:53
26,830,21.89,0.62,3.2,0,2016-01-21 20:32:55
27,831,21.88,0.61,4.0,0,2016-01-21 20:32:57
28,832,21.86,0.61,3.1,0,2016-01-21 20:32:59
29,833,21.94,0.61,4.4,0,2016-01-21 20:33:01
30,834,23.56,0.61,7.4,0,2016-01-21 20:33:04
31,835,22.35,0.61,3.6,0,2016-01-21 20:33:06
32,836,22.94,0.61,3.2,0,2016-01-21 20:33:08
33,837,22.98,0.61,3.6,0,2016-01-21 20:33:10
34,838,22.33,0.61,3.5,0,2016-01-21 20:33:12
35,839,24.39,0.61,3.4,0,2016-01-21 20:33:14
36,840,22.96,0.61,4.4,0,2016-01-21 20:33:17
37,841,22.3,0.61,4.2,0,2016-01-21 20:33:19
38,842,22.39,0.61,8.6,0,2016-01-21 20:33:21
39,843,24.37,0.61,4.2,0,2016-01-21 20:33:23
40,844,25.94,0.61,9.3,0,2016-01-21 20:33:25
41,845,22.15,0.61,4.0,0,2016-01-21 20:33:28
42,846,21.84,0.61,8.6,0,2016-01-21 20:33:30
43,847,22.56,0.61,5.6,0,2016-01-21 20:33:32
44,848,21.71,0.61,6.1,0,2016-01-21 20:33:34
45,849,22.25,0.61,8.7,0,2016-01-21 20:33:36
46,850,22.5,0.61,5.1,0,2016-01-21 20:33:38
47,851,22.26,0.61,6.3,0,2016-01-21 20:33:41
48,852,23.42,0.61,4.8,0,2016-01-21 20:33:43
49,853,21.69,0.61,6.3,0,2016-01-21 20:33:45
50,854,20.24,0.61,4.4,0,2016-01-21 20:33:47
51,855,20.33,0.61,11.4,0,2016-01-21 20:33:49
52,856,20.45,0.61,4.5,0,2016-01-21 20:33:52
53,857,21.21,0.61,6.1,0,2016-01-21 20:33:54
54,858,25.95,0.61,3.8,0,2016-01-21 20:33:56
55,859,27.52,0.61,4.0,0,2016-01-21 20:33:58
56,860,24.38,0.61,6.2,0,2016-01-21 20:34:00
57,861,22.02,0.61,6.4,0,2016-01-21 20:34:04
58,862,22.95,0.61,9.9,0,2016-01-21 20:34:06
59,863,22.72,0.61,7.6,0,2016-01-21 20:34:08
60,864,21.83,0.61,6.4,0,2016-01-21 20:34:10
61,865,21.59,0.6,5.0,0,2016-01-21 20:34:12
62,866,21.48,0.61,4.3,0,2016-01-21 20:34:14
63,867,20.98,0.6,4.7,0,2016-01-21 20:34:17
64,868,21.82,0.6,5.9,0,2016-01-21 20:34:19
65,869,21.76,0.6,7.3,0,2016-01-21 20:34:21
66,870,21.88,0.6,5.0,0,2016-01-21 20:34:23
67,871,21.97,0.6,5.8,0,2016-01-21 20:34:25
68,872,22.01,0.6,6.0,0,2016-01-21 20:34:28
69,873,22.28,0.6,5.6,0,2016-01-21 20:34:30
70,874,22.23,0.6,7.0,0,2016-01-21 20:34:32
71,875,22.11,0.6,5.8,0,2016-01-21 20:34:34
72,876,22.24,0.6,4.9,0,2016-01-21 20:34:36
73,877,21.94,0.6,5.9,0,2016-01-21 20:34:38
